angle, fsin, fcos, sin, cos, dsin, dcos
257, -0.9743700647852351, -0.22495105434386525, -0.9743700647852351, -0.22495105434386525, 0, 0/n
257.01, -0.9744093113100725, -0.22478099126089446, -0.9744093113100725, -0.22478099126089446, 0, 0/n
257.02, -0.9744485281527048, -0.2246109213307031, -0.9744485281527048, -0.2246109213307031, 0, 0/n
257.03, -0.9744877153119378, -0.22444084455847096, -0.9744877153119376, -0.22444084455847182, -0.0000000000000002220446049250313, 0.0000000000000008604228440844963/n
257.04, -0.9745268727865772, -0.22427076094938062, -0.9745268727865772, -0.22427076094938062, 0, 0/n
257.05, -0.9745660005754307, -0.22410067050861224, -0.9745660005754307, -0.22410067050861224, 0, 0/n
257.06, -0.9746050986773059, -0.22393057324134794, -0.9746050986773059, -0.22393057324134794, 0, 0/n
257.07, -0.9746441670910124, -0.22376046915276745, -0.9746441670910124, -0.22376046915276745, 0, 0/n
257.08, -0.9746832058153598, -0.22359035824805332, -0.9746832058153598, -0.22359035824805332, 0, 0/n
257.09, -0.9747222148491592, -0.22342024053238652, -0.974722214849159, -0.22342024053238738, -0.0000000000000002220446049250313, 0.0000000000000008604228440844963/n
257.1, -0.9747611941912219, -0.22325011601095088, -0.9747611941912219, -0.22325011601095088, 0, 0/n
257.11, -0.9748001438403606, -0.2230799846889278, -0.9748001438403606, -0.2230799846889278, 0, 0/n
257.12, -0.9748390637953888, -0.22290984657150073, -0.9748390637953888, -0.22290984657150073, 0, 0/n
257.13, -0.9748779540551211, -0.22273970166385054, -0.9748779540551211, -0.22273970166385054, 0, 0/n
257.14, -0.9749168146183729, -0.22256954997116105, -0.9749168146183729, -0.22256954997116105, 0, 0/n
257.15, -0.9749556454839603, -0.22239939149861537, -0.9749556454839603, -0.22239939149861537, 0, 0/n
257.16, -0.9749944466507006, -0.222229226251396, -0.9749944466507006, -0.222229226251396, 0, 0/n
257.17, -0.9750332181174115, -0.2220590542346881, -0.9750332181174115, -0.2220590542346881, 0, 0/n
257.18, -0.9750719598829123, -0.22188887545367467, -0.9750719598829123, -0.22188887545367467, 0, 0/n
257.19, -0.9751106719460224, -0.2217186899135404, -0.9751106719460224, -0.2217186899135404, 0, 0/n
257.2, -0.9751493543055632, -0.22154849761946777, -0.9751493543055632, -0.22154849761946777, 0, 0/n
257.21, -0.9751880069603559, -0.221378298576642, -0.9751880069603559, -0.221378298576642, 0, 0/n
257.22, -0.9752266299092235, -0.22120809279024675, -0.9752266299092235, -0.22120809279024675, 0, 0/n
257.23, -0.975265223150989, -0.22103788026546856, -0.975265223150989, -0.22103788026546856, 0, 0/n
257.24, -0.975303786684477, -0.2208676610074915, -0.975303786684477, -0.2208676610074915, 0, 0/n
